,id,title,first_artist,all_artists,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
52,4wopYJ5wpYOM6ogm2Jugnw,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,"['Lauv', 'Anne-Marie']",0.806,0.558,9,-6.46,1,0.482,0.0,0.0618,0.678,95.016,198973,4
53,1rDjwexewf4hrdZT7SRNsH,Nasha (Equals Sessions),Faridkot,"['Faridkot', 'Amar Jalal']",0.78,0.46,6,-7.516,1,0.455,0.000141,0.061,0.788,124.007,287573,4
54,4OMj5QWwvYSUs9O0hsymts,Friends in Low Places,Brooks Jefferson,['Brooks Jefferson'],0.553,0.655,9,-5.837,1,0.617,0.0,0.0825,0.624,107.739,258508,4
55,2h07BXr794JGyJaRsnEx6l,Sang Hoon Tere,Bhuvan Bam,['Bhuvan Bam'],0.623,0.761,9,-5.774,1,0.203,0.0,0.15,0.542,119.958,274195,4
56,6vwDylCMJ5yP26iG5oXlIC,Aakhon ke Sagar,Shafqat Amanat Ali,['Shafqat Amanat Ali'],0.321,0.363,4,-14.204,1,0.0343,0.000247,0.128,0.226,101.97,316000,4
57,6ehpMHGoI2uzjNqbJQBJle,Cold Shoulders,Prateek Kuhad,['Prateek Kuhad'],0.669,0.213,10,-15.379,1,0.778,0.0146,0.0849,0.204,129.604,218270,3
58,1AXQ4ZCUueIfGGEYAdq9Pe,Tere Naina,Shankar-Ehsaan-Loy,"['Shankar-Ehsaan-Loy', 'Shafqat Amanat Ali']",0.551,0.74,0,-7.019,1,0.558,0.0,0.144,0.731,92.761,278547,4
59,3V3PN2Rs7qjVcnBi60QdMb,with you/for you,Prateek Kuhad,['Prateek Kuhad'],0.732,0.309,6,-13.796,1,0.811,0.175,0.106,0.322,114.095,231898,4
60,1vVTdcJysPKWDwutqELNTg,100 words,Prateek Kuhad,['Prateek Kuhad'],0.468,0.438,3,-14.575,1,0.887,0.368,0.114,0.58,76.139,210420,4
61,3V3PN2Rs7qjVcnBi60QdMb,with you/for you,Prateek Kuhad,['Prateek Kuhad'],0.732,0.309,6,-13.796,1,0.811,0.175,0.106,0.322,114.095,231898,4
62,7gFqTzz5tl3xKn3GmfH4Md,Holding On,Prateek Kuhad,['Prateek Kuhad'],0.561,0.371,0,-10.731,1,0.22,0.00985,0.262,0.19,91.97,204533,4
63,0hVXFWS00liq3W2YAQUma4,Aas Paas Khuda (Unplugged),Rahat Fateh Ali Khan,"['Rahat Fateh Ali Khan', 'Shruti Pathak']",0.453,0.305,5,-7.578,1,0.881,0.0,0.133,0.543,79.0,204234,4
64,6SQDhaDMwLeRGHfyLb00d4,Train Song,Midival Punditz,"['Midival Punditz', 'Karsh Kale', 'Raghu Dixit']",0.397,0.684,8,-10.014,1,0.0486,0.0075,0.11,0.87,63.047,238930,4
65,4Zp96hExiyQiwivwe1JK1d,Joker,Harrdy Sandhu,"['Harrdy Sandhu', 'B Praak']",0.52,0.521,6,-5.24,1,0.759,0.0,0.0817,0.4,140.04,317893,3
66,7AtftHwt5KYYhJUaY5rvkv,Ik Tu Hi Tu Hi,Hans Raj Hans,['Hans Raj Hans'],0.461,0.732,8,-7.335,1,0.309,0.0,0.0625,0.722,73.858,431189,4
67,12REd1n8PeiHHWOh066tpr,Never Be Like You,Flume,"['Flume', 'kai']",0.494,0.559,0,-5.445,1,0.436,0.0,0.164,0.264,119.247,233337,4
68,3Y8JSCYjFznthCYb5HZ8lW,Friends,Flume,"['Flume', 'Reo Cragun']",0.628,0.668,1,-5.935,0,0.288,0.0,0.622,0.347,138.865,223910,4
69,24zoLYPSzTYPEoFmAWuw94,Ajab Leher,Neeraj Shridhar,['Neeraj Shridhar'],0.746,0.812,8,-6.034,1,0.252,0.000133,0.218,0.967,96.012,242120,4
70,5ossLri0sAPCRdg7wbKi43,Something Has to Change,The Japanese House,['The Japanese House'],0.702,0.565,9,-8.863,1,0.216,4.78e-06,0.117,0.355,125.019,191200,4
71,6N5WkgPIDoTdbCXyyIIKAv,tere bina,Zaeden,['Zaeden'],0.889,0.341,7,-7.909,1,0.117,3.7e-06,0.0734,0.942,118.003,157246,4
72,2b8fOow8UzyDFAE27YhOZM,Memories,Maroon 5,['Maroon 5'],0.764,0.32,11,-7.209,1,0.837,0.0,0.0822,0.575,91.019,189486,4
73,3FrrdMIPRwHTu5DEBtVhjL,Ab Hoga Kya,Prateek Kuhad,['Prateek Kuhad'],0.869,0.458,11,-8.123,1,0.495,0.0112,0.0706,0.488,133.943,254302,4
74,0EMYTe2oQy70PCKPQFlbVy,Voh Dekhnay Mein,Ali Zafar,['Ali Zafar'],0.815,0.421,0,-8.125,1,0.491,4.41e-06,0.117,0.543,140.01,272453,4
75,3dQjCswDedsHNxdaOhcfiz,Aahatein,Karthik,"['Karthik', 'Shilpa Rao']",0.609,0.288,1,-13.371,1,0.311,0.000145,0.109,0.301,81.999,267145,4
76,2p9P80g69GvL8fcIaBC7nu,Kinare,Mohan Kanan,['Mohan Kanan'],0.526,0.464,7,-7.767,1,0.359,0.00167,0.117,0.165,141.934,212168,4
77,2gXZp1zDDA5bnPsLwrSMRj,Kinna Sona,Sunil Kamath,['Sunil Kamath'],0.716,0.626,1,-5.274,1,0.608,8.26e-06,0.191,0.467,120.021,303756,4
78,7COXchtUOMd6uIT6HvmRaI,i'm so tired...,Lauv,"['Lauv', 'Troye Sivan']",0.599,0.733,11,-7.058,1,0.176,0.0,0.242,0.534,102.211,162583,4
79,6sd2ry41Xub9W0YvoPmZgy,One Last Song,Tore Bojsten,['Tore Bojsten'],0.551,0.179,4,-9.628,1,0.789,0.0,0.126,0.405,97.102,161968,3
80,0iJjBJxZiU6ztK2AUl970Y,She Kill Me Softly Laughing When I Hit the Blunt & I Be Coughing,Smrtdeath,['Smrtdeath'],0.607,0.69,0,-8.685,1,0.0161,0.0,0.214,0.442,125.936,152381,3
81,6p2ETO3UZ6egP7bFFnQXyi,Tere Utte,RISH,"['RISH', 'Moit']",0.643,0.41,11,-6.52,1,0.851,0.0,0.192,0.301,80.296,147000,4
82,1Eb90nmqTrxylKFhcUzW8P,(Everything I Do) I Do It For You,Bryan Adams,['Bryan Adams'],0.533,0.36,1,-12.633,1,0.0805,1.03e-05,0.0631,0.299,131.229,393640,4
83,1fpWdLK5IGXUEdsLSKDcuW,Somebody's Me,Enrique Iglesias,['Enrique Iglesias'],0.629,0.551,1,-6.924,1,0.302,0.0,0.11,0.384,83.005,238467,4
84,0AGeiZaDptA2bmbaFdWr9l,Behka Na,Ali Tariq,"['Ali Tariq', 'Harshdeep Kaur']",0.597,0.7,3,-6.321,1,0.338,4.79e-05,0.127,0.228,114.03,263684,4
85,6ocOeSjnWPcSTaSsi0zIdY,Aao Milo Chalo,Shaan,"['Shaan', 'Sultan Khan']",0.507,0.787,7,-5.947,0,0.412,0.0,0.323,0.49,114.875,325934,4
86,6q7bXTv3yBedHblKRoC5uu,Kadam,Prateek Kuhad,['Prateek Kuhad'],0.55,0.356,9,-14.142,1,0.637,0.187,0.32,0.343,159.911,214604,3
87,6osLH2yLhpwuESclKx84sg,Joy of Little Things,When Chai Met Toast,['When Chai Met Toast'],0.509,0.611,9,-5.786,1,0.185,0.0,0.116,0.208,100.155,239667,4
88,1ITDFrvrbYUOYy24oC9gVS,Yeh Beetey Din (acoustic version),Ram Sampath,['Ram Sampath'],0.674,0.692,4,-5.057,1,0.39,0.0,0.219,0.597,99.989,213600,4
89,0PKEQjnGn0LmPjozJ3t4MF,Main Bola Hey!,Karthik Rao,['Karthik Rao'],0.646,0.33,0,-14.582,1,0.75,0.000384,0.123,0.499,84.995,153000,4
90,51Gk1czQl7NjX0jHwawO1G,Yeh Pal,Prateek Kuhad,['Prateek Kuhad'],0.752,0.204,2,-15.955,1,0.834,0.102,0.109,0.38,117.997,247689,4
91,4qAHuJq5T4Q97EQZG47H0P,The Good Side,Troye Sivan,['Troye Sivan'],0.426,0.284,2,-15.492,1,0.406,0.00335,0.362,0.311,112.039,268597,4
92,1wnozUBSe7OMpmZiTPJC5j,Tum Tak,A.R. Rahman,"['A.R. Rahman', 'Javed Ali', 'Keerthi Sagathia', 'Pooja AV']",0.72,0.621,2,-9.773,1,0.676,0.0,0.0679,0.566,114.987,304467,4
93,3LlAyCYU26dvFZBDUIMb7a,Demons,Imagine Dragons,['Imagine Dragons'],0.505,0.71,3,-3.015,1,0.19,0.00025,0.329,0.428,89.938,175200,4
94,3uL1IBFhg52VcQqOwAG01E,Mast Magan,Arijit Singh,"['Arijit Singh', 'Chinmayi']",0.659,0.774,7,-7.014,1,0.606,0.000333,0.185,0.883,82.995,280161,4
95,1qTh7hzjd361hjuzeaMFWK,Hey Ya !,Clinton Cerejo,"['Clinton Cerejo', 'Shankar Mahadevan', 'Loy Mendonsa']",0.799,0.588,7,-9.136,0,0.184,2.68e-05,0.0788,0.789,115.087,254990,4
96,0og9wKFGgFFNQnrBe7eisG,Uff Teri Adaa,Shankar Mahadevan,"['Shankar Mahadevan', 'Alyssa Mendonsa']",0.647,0.792,2,-9.815,1,0.00536,5.82e-05,0.054,0.306,132.032,304089,4
97,1qIgUd06MYNCmLQSJCerT8,Rataan,Vilen,['Vilen'],0.739,0.355,5,-9.618,0,0.392,0.00218,0.0996,0.949,174.055,185000,4
98,2GXs2rslAN5rzAZq4y5Knw,Chahat,Zack Knight,['Zack Knight'],0.699,0.465,0,-7.238,1,0.525,2.09e-06,0.126,0.499,97.898,198367,4
99,01npLGQTbZBIHVRcXJbLzR,Kuchh Khaas,Mohit Chauhan,"['Mohit Chauhan', 'Neha Bhasin']",0.687,0.419,9,-11.195,0,0.687,0.00212,0.0742,0.555,125.008,296890,4
