,id,title,first_artist,all_artists,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
56,5Lg2nrdJNT9JMQqzaDv5aq,Fly Away,Vidya Vox,"['Vidya Vox', 'Maati Baani']",0.631,0.537,0,-9.171,1,0.14,0.0,0.1,0.455,99.1,242386,3
57,3FTRSa9mWB3kKx2jkhUAN3,Tum Jab Paas,Prateek Kuhad,['Prateek Kuhad'],0.751,0.344,6,-7.712,1,0.528,1.62e-06,0.113,0.471,122.1,235932,3
58,5cJJdUtacwBrphoMjh3tKG,Believe,When Chai Met Toast,['When Chai Met Toast'],0.25,0.618,2,-7.705,1,0.16,0.0169,0.109,0.12,66.632,236700,4
59,2mv5anj69awqE6R936e0hZ,Barso,Ritviz,['Ritviz'],0.536,0.829,2,-6.831,1,0.0265,0.00659,0.124,0.0379,140.045,257143,4
60,3WBsWNtL054HCFz7UUGK9e,Teri Ay,Umer Farooq,['Umer Farooq'],0.666,0.455,9,-9.428,1,0.618,0.0016,0.127,0.273,100.008,232800,4
61,669PEr8I3wOswY8BANBpdh,Shaayad,Taba Chake,['Taba Chake'],0.606,0.472,8,-8.525,1,0.685,1.11e-05,0.114,0.439,94.972,208000,4
62,26u6HGjzExhRZD5ifgTBnG,Dil Haare,Ankur Tewari,"['Ankur Tewari', 'The Ghalat Family']",0.625,0.576,9,-7.976,1,0.175,0.0023,0.127,0.422,128.059,268513,4
63,3TaoFBplKZB4AclYV2cDwT,Firefly,When Chai Met Toast,['When Chai Met Toast'],0.533,0.828,11,-5.533,1,0.161,0.00242,0.0588,0.391,79.947,218000,4
64,4ye8U0982eHtlhlvePpxtP,Jeet,Ritviz,['Ritviz'],0.787,0.734,0,-6.464,1,0.357,0.00101,0.0625,0.634,98.989,184848,4
65,7eQl3Yqv35ioqUfveKHitE,Tum Se Hi,Mohit Chauhan,['Mohit Chauhan'],0.609,0.538,6,-7.842,1,0.328,0.0,0.125,0.608,130.007,321225,4
66,66Nmp3ztIMqX1j8yYtWl1X,Liggi,Ritviz,['Ritviz'],0.786,0.667,5,-8.272,1,0.0112,0.0533,0.074,0.688,102.05,181176,4
67,3cFbAzmdJFaHWQpJEg2n7h,Manzil,The Local Train,['The Local Train'],0.517,0.875,11,-4.288,1,0.000112,0.00633,0.158,0.44,124.965,260629,4
68,6IskNuvBwK8YzFrjvXIp5h,Yeh Zindagi Hai,The Local Train,['The Local Train'],0.633,0.616,9,-7.395,1,0.126,0.0,0.078,0.7,131.072,249160,4
69,6wxm92a18bGEP5N4QusCIx,Mere Yaar,The Local Train,['The Local Train'],0.343,0.508,2,-9.748,1,0.191,0.000374,0.278,0.3,78.131,286720,4
70,02sas1xqIwRm7iWSoHDvKe,Oh Love,Prateek Kuhad,['Prateek Kuhad'],0.633,0.743,7,-8.029,1,0.29,0.00696,0.0629,0.548,176.021,211193,4
71,25VBJM8MADuhjaHRnqFrvV,Into the Night,Prateek Kuhad,['Prateek Kuhad'],0.847,0.489,10,-7.926,1,0.494,0.0,0.071,0.839,120.018,183228,4
72,2sHwSBNDZN2yjCtgwStYt1,Crush Culture,Conan Gray,['Conan Gray'],0.522,0.765,0,-5.395,1,0.146,0.0,0.0866,0.455,180.065,204120,4
73,2h07BXr794JGyJaRsnEx6l,Sang Hoon Tere,Bhuvan Bam,['Bhuvan Bam'],0.623,0.761,9,-5.774,1,0.203,0.0,0.15,0.542,119.958,274195,4
74,3V3PN2Rs7qjVcnBi60QdMb,with you/for you,Prateek Kuhad,['Prateek Kuhad'],0.732,0.309,6,-13.796,1,0.811,0.175,0.106,0.322,114.095,231898,4
75,3FrrdMIPRwHTu5DEBtVhjL,Ab Hoga Kya,Prateek Kuhad,['Prateek Kuhad'],0.869,0.458,11,-8.123,1,0.495,0.0112,0.0706,0.488,133.943,254302,4
76,6p2ETO3UZ6egP7bFFnQXyi,Tere Utte,RISH,"['RISH', 'Moit']",0.643,0.41,11,-6.52,1,0.851,0.0,0.192,0.301,80.296,147000,4
77,1ITDFrvrbYUOYy24oC9gVS,Yeh Beetey Din (acoustic version),Ram Sampath,['Ram Sampath'],0.674,0.692,4,-5.057,1,0.39,0.0,0.219,0.597,99.989,213600,4
78,0PKEQjnGn0LmPjozJ3t4MF,Main Bola Hey!,Karthik Rao,['Karthik Rao'],0.646,0.33,0,-14.582,1,0.75,0.000384,0.123,0.499,84.995,153000,4
79,2GXs2rslAN5rzAZq4y5Knw,Chahat,Zack Knight,['Zack Knight'],0.699,0.465,0,-7.238,1,0.525,2.09e-06,0.126,0.499,97.898,198367,4
80,2AoWWiMelowkStJoqPMDed,cold/mess,Prateek Kuhad,['Prateek Kuhad'],0.509,0.479,11,-6.601,1,0.285,0.0175,0.167,0.299,145.967,281219,3
81,2KDR0VRWbQ88LQ1cdi8T3z,Dilnawaz,The Local Train,['The Local Train'],0.501,0.568,4,-7.968,0,0.217,1.64e-05,0.094,0.236,88.904,207531,4
82,4LX8OArGCZ3hS0imHepe83,Aao Chalein,Taba Chake,['Taba Chake'],0.705,0.639,10,-7.367,1,0.131,0.0298,0.222,0.825,127.502,185305,4
83,5giETs7WBuIGyadCPo5Qvp,Rasta Jahaan Le Chale,Papon,['Papon'],0.613,0.689,0,-6.457,1,0.283,0.00024,0.0932,0.406,97.985,185510,4
84,1uC8CoidgacQzx9f01n73h,"I Love You Baby, I Love You Doll",Parekh & Singh,['Parekh & Singh'],0.721,0.418,4,-11.315,1,0.305,1.4e-06,0.277,0.651,94.935,169987,4
85,3PMQvsVUEOMWsEGsSGG0aA,Marz,The Yellow Diary,['The Yellow Diary'],0.433,0.599,9,-7.293,1,0.479,2.04e-06,0.12,0.338,71.798,222579,4
86,67mmy7Mhim6DmeFHHoqptH,Aakhri Salaam,The Local Train,['The Local Train'],0.467,0.651,4,-8.507,1,0.147,0.000241,0.196,0.492,173.922,277433,4
87,3gJxSEQtZ08xpRuAMdynHW,Dheere Se,The Yellow Diary,['The Yellow Diary'],0.584,0.548,8,-10.19,1,0.669,0.0036,0.164,0.386,160.002,198000,4
88,4BL4aEbddW0OGv6fFYYFUt,Ocean,Anuv Jain,['Anuv Jain'],0.72,0.237,3,-11.665,1,0.963,0.0,0.0952,0.606,125.335,252630,4
89,0h0gWburhWxIhV9h7kyX3l,Jogi,Swastik The Band,['Swastik The Band'],0.55,0.648,2,-6.5,0,0.276,9.72e-05,0.069,0.352,80.03,376855,4
90,0ke4LdLYRcNHY03nlYyN47,Kaisey Jiyun - Acoustic,The Local Train,['The Local Train'],0.556,0.453,3,-7.798,1,0.122,0.0,0.0802,0.324,143.914,219583,4
91,40rO5T5aZa0MlgzCetTRTn,Run Closer,When Chai Met Toast,['When Chai Met Toast'],0.644,0.609,11,-6.442,1,0.168,0.00971,0.225,0.237,107.022,202600,4
92,0bO9mhJpH5R5ixn9Gv8F6O,Nikamma,Lifafa,['Lifafa'],0.715,0.676,6,-11.895,1,0.483,0.00185,0.102,0.468,181.859,211788,4
93,0vCxpIQ1ypPPasPuksuKBX,Vaaqif,The Local Train,['The Local Train'],0.542,0.499,1,-8.976,1,0.195,0.0121,0.135,0.158,117.01,380928,4
94,6wZJsut8fjiWiMPaccRAOX,Udd Gaye - Bacardi House Party Sessions,Ritviz,['Ritviz'],0.595,0.818,11,-6.189,0,0.000712,0.0386,0.142,0.48,144.956,180414,4
95,5lTmnG1YK1fEDpegC82pKn,Drum Machine,Parekh & Singh,['Parekh & Singh'],0.792,0.448,6,-9.398,0,0.708,4.24e-06,0.114,0.732,120.015,165763,4
96,4Y5u8o85oc78AAxELQbK1b,Sunbeam,Parekh & Singh,['Parekh & Singh'],0.635,0.522,1,-8.944,1,0.135,0.0109,0.291,0.33,115.931,165880,4
97,5Br8K1CLLVB7AuuM0t4G7r,Preet,Jasleen Royal,['Jasleen Royal'],0.577,0.559,10,-7.048,0,0.729,0.013,0.171,0.529,167.927,303673,4
98,1qH5qFrodoycQXF97LV2I1,Tu Jo Paas,Suzonn,['Suzonn'],0.654,0.0668,7,-24.557,1,0.984,7.92e-06,0.115,0.379,139.889,212571,4
99,7d2nVsMdCTfmCvIGfhJW4Y,Teri Meri Kahani,Bhuvan Bam,"['Bhuvan Bam', 'Permanent Roommates']",0.797,0.64,7,-9.297,1,0.506,0.000107,0.151,0.491,100.016,220000,4
