,id,title,first_artist,all_artists,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
17,4qjLvvBh5ZeKEPyShKRf06,Narcissist (feat. The 1975),No Rome,"['No Rome', 'The 1975']",0.543,0.682,3,-5.81,1,0.219,1.53e-06,0.085,0.424,179.972,195502,4
18,51NFxnQvaosfDDutk0tams,bellyache,Billie Eilish,['Billie Eilish'],0.695,0.573,4,-8.597,0,0.46,0.0734,0.482,0.408,99.939,179172,4
19,3j1fOrxmfuym91Cf9v397b,Warpaint,88rising,"['88rising', 'NIKI']",0.68,0.658,1,-5.356,1,0.082,0.0324,0.109,0.278,128.921,213788,4
20,5Y4vRBs4QCUloQ5W9Wb58j,Moon Child,The F16s,['The F16s'],0.606,0.713,9,-5.987,1,0.0568,0.00262,0.0814,0.549,120.016,279841,4
21,4yvrKVY7V0a3pLbNUFbaN4,Shaktimaan,Seedhe Maut,"['Seedhe Maut', 'Sez on the Beat']",0.819,0.439,11,-7.316,1,0.0561,0.0,0.136,0.411,134.874,185778,4
22,5bCDC7qkmxiJc0lPsqiALj,Let Me Live / Let Me Die,Des Rocs,['Des Rocs'],0.51,0.759,9,-4.854,1,0.034,0.0,0.077,0.237,91.123,207142,4
23,1B3x1uT4WMuFD84IxcOiki,Candid,Kllo,['Kllo'],0.746,0.75,11,-7.276,0,0.344,0.0468,0.0771,0.453,144.027,243511,4
24,3llC7WjMtxqDwaM1Gjzvrs,Face Like Thunder,The Japanese House,['The Japanese House'],0.636,0.742,0,-6.751,1,0.233,3.87e-05,0.185,0.285,119.951,237427,4
25,6PmsHVre2N9yOjDge00r9c,Hesitate,Golden Vessel,"['Golden Vessel', 'Emerson Leif']",0.406,0.53,2,-9.556,1,0.739,0.0161,0.108,0.0701,122.773,251279,4
26,1v9XPjtlSMF1EkMRgkB2No,Moon,Donnie Castle,['Donnie Castle'],0.549,0.726,5,-6.786,1,0.0123,0.513,0.0967,0.233,109.956,268293,4
27,11p45DXn2eSqcBtcAsWT0k,Leaning On Myself,Anna of the North,['Anna of the North'],0.699,0.55,0,-7.397,1,0.461,1.4e-05,0.128,0.707,130.027,196273,4
28,3FTRSa9mWB3kKx2jkhUAN3,Tum Jab Paas,Prateek Kuhad,['Prateek Kuhad'],0.751,0.344,6,-7.712,1,0.528,1.62e-06,0.113,0.471,122.1,235932,3
29,5ossLri0sAPCRdg7wbKi43,Something Has to Change,The Japanese House,['The Japanese House'],0.702,0.565,9,-8.863,1,0.216,4.78e-06,0.117,0.355,125.019,191200,4
30,6HfVKTa0AA4k49FqXtxd3S,Man on the Moon,Zella Day,['Zella Day'],0.43,0.867,8,-4.869,1,0.0271,3.07e-06,0.106,0.571,74.988,242417,4
31,2P7O90JwqbBlsJI26miqNa,Twentythousand,EXES,['EXES'],0.514,0.362,11,-9.033,1,0.0991,5.77e-06,0.418,0.138,99.402,192026,4
32,7cS9IvXSnBflaPOMpYlvQ5,Firelight,Hundred Waters,['Hundred Waters'],0.302,0.415,2,-7.23,1,0.326,3.25e-05,0.121,0.145,107.854,271813,3
33,6XVDZoNVGvWhfSoqQhjJZI,Mythological Beauty,Big Thief,['Big Thief'],0.629,0.579,10,-8.544,1,0.301,0.22,0.116,0.475,106.673,306760,4
34,7FVGIPgLMDChTffvG2LuHV,Holy,King Princess,['King Princess'],0.614,0.585,10,-9.483,1,0.134,0.000129,0.0948,0.211,169.905,174667,4
35,40rvBMQizxkIqnjPdEWY1v,Down with the Sickness,Disturbed,['Disturbed'],0.695,0.876,3,-4.262,0,0.000996,6.89e-06,0.106,0.941,89.954,279213,4
36,3k458zzqcF9UeRfZqRbZYr,Raat Raazi,Prateek Kuhad,['Prateek Kuhad'],0.481,0.254,4,-10.642,1,0.756,0.372,0.103,0.138,105.418,286957,4
37,0BezB2NH80dqPizOqw8I7S,Colder When It Rains,X Lovers,['X Lovers'],0.709,0.651,5,-4.762,1,0.203,0.0,0.127,0.589,84.932,174102,4
38,0og9wKFGgFFNQnrBe7eisG,Uff Teri Adaa,Shankar Mahadevan,"['Shankar Mahadevan', 'Alyssa Mendonsa']",0.647,0.792,2,-9.815,1,0.00536,5.82e-05,0.054,0.306,132.032,304089,4
39,0nhBKubnVz9yFNNprBniWz,YOUTH,Troye Sivan,['Troye Sivan'],0.628,0.737,7,-4.437,1,0.0625,0.0,0.0777,0.592,91.507,185194,4
40,0iJjBJxZiU6ztK2AUl970Y,She Kill Me Softly Laughing When I Hit the Blunt & I Be Coughing,Smrtdeath,['Smrtdeath'],0.607,0.69,0,-8.685,1,0.0161,0.0,0.214,0.442,125.936,152381,3
41,45045fi8RzRxvU9bImb6xp,moniker,underscores,['underscores'],0.658,0.191,9,-11.808,0,0.684,0.000329,0.221,0.463,137.948,97391,4
42,6q8SiNY4DgtWLLVFHdbU3t,Jeet 2.0,Ritviz,['Ritviz'],0.683,0.44,0,-7.08,1,0.418,0.0,0.438,0.83,99.05,186667,4
43,1ImSaJvKCQ0Gewcdx1KzF8,Aldrig Mer (feat. TENDER),Kasbo,"['Kasbo', 'TENDER']",0.359,0.774,7,-5.789,1,0.0649,0.104,0.11,0.141,184.739,243919,4
44,73kadnv7SduzhApfRUv5C0,hey you got drugs?,Tove Lo,['Tove Lo'],0.625,0.706,9,-4.604,1,0.301,0.0,0.0735,0.273,123.019,258033,4
45,1R0dKbAtlVgmm8gviOTJID,pity points,underscores,['underscores'],0.763,0.411,0,-9.629,1,0.282,0.622,0.553,0.181,137.992,226522,1
46,64RkEV5b7bG697vhIPMlrl,Sage,Ritviz,['Ritviz'],0.663,0.412,5,-8.195,0,0.00434,0.0189,0.215,0.356,98.025,230204,4
47,2MnEG4htbbdfoUsyzxZ4BM,Throwaway (with Clairo),SG Lewis,"['SG Lewis', 'Clairo']",0.789,0.49,2,-6.588,1,0.784,0.000598,0.112,0.869,140.034,180000,4
48,66rWVbv4474MqWUeiWudIp,Your Door,Dear Leo,['Dear Leo'],0.533,0.479,1,-11.606,1,0.306,0.0607,0.126,0.0392,145.945,302246,4
49,6exPfsexVWEsVf8MHsmASw,Dreamtime,Flume,['Flume'],0.296,0.74,1,-6.272,1,0.609,0.914,0.115,0.17,153.794,134449,5
50,3Gc4zbfvgZSBEfpd0aWEFb,Khudi,The Local Train,['The Local Train'],0.626,0.791,3,-6.502,1,0.0196,9.08e-05,0.106,0.538,127.037,297643,4
51,1ypAxj1vxOspuVRf6SOwC9,Quick Love,Fantom '87,"[""Fantom '87""]",0.57,0.738,8,-9.089,1,0.0059,0.0764,0.0885,0.11,109.979,303903,4
52,6l1VsKiMyaUWElFrM1rsuu,Saansein,Prateek Kuhad,['Prateek Kuhad'],0.693,0.518,1,-9.146,1,0.653,0.531,0.138,0.374,128.041,266042,4
53,6VrCmhRBFnuGKmtNfk4jDs,Spotlight,Marshmello,"['Marshmello', 'Lil Peep']",0.546,0.822,7,-4.483,1,0.0145,0.0,0.742,0.615,150.06,177600,4
54,1X0ndivnYmiD54hxQ5DALW,voice of reason,underscores,['underscores'],0.611,0.364,4,-10.044,0,0.343,0.0757,0.138,0.19,140.088,246429,4
55,6q7Tz67loOULIPEXo941hk,Crush,Tessa Violet,['Tessa Violet'],0.91,0.401,1,-9.552,1,0.0302,0.000159,0.0801,0.824,135.994,216267,4
56,7oZfFzJqxCnziFwUnv1pip,Somebody you found,The Japanese House,['The Japanese House'],0.672,0.54,9,-8.565,1,0.833,7.25e-05,0.145,0.41,119.989,213632,4
57,1qIgUd06MYNCmLQSJCerT8,Rataan,Vilen,['Vilen'],0.739,0.355,5,-9.618,0,0.392,0.00218,0.0996,0.949,174.055,185000,4
58,2zoNNEAyPK2OGDfajardlY,Rushing Back,Flume,"['Flume', 'Vera Blue']",0.574,0.612,0,-4.741,1,0.357,0.0,0.158,0.368,136.046,231663,3
